5,0,0,3.0,1,1,AMI
0,1,21,21.0,1,1,AMI
1,0,0,3.0,1,2,AMI
4,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
2,7,83,11.857142,1,2,AMI
1,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
4,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
2,1,123,123.0,1,0,AMI
4,1,44,44.0,1,2,AMI
0,1,69,69.0,1,2,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,2,AMI
2,1,22,22.0,1,2,AMI
0,2,140,70.0,1,2,AMI
5,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
0,1,22,22.0,1,2,AMI
1,0,0,3.0,1,0,AMI
0,1,0,0.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
5,1,0,0.0,1,2,AMI
0,1,50,50.0,1,2,AMI
6,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
2,1,2,2.0,1,2,AMI
10,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
11,0,0,3.0,0,2,AMI
4,0,0,3.0,1,2,AMI
4,0,0,3.0,1,2,AMI
12,0,0,3.0,1,2,AMI
5,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
15,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
9,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
10,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
12,0,0,3.0,0,2,AMI
3,0,0,3.0,0,0,AMI
0,1,372,372.0,0,1,FAMILLE
0,1,0,0.0,0,0,FAMILLE
0,1,7,7.0,0,2,FAMILLE
1,1,4,4.0,0,2,FAMILLE
8,0,0,3.0,0,2,FAMILLE
0,3,15,5.0,0,1,FAMILLE
3,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,2,FAMILLE
0,1,24,24.0,0,1,FAMILLE
0,1,43,43.0,0,2,FAMILLE
0,1,12,12.0,0,2,FAMILLE
0,1,11,11.0,1,1,FAMILLE
0,2,666,333.0,0,0,FAMILLE
1,0,0,3.0,1,2,FAMILLE
5,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,0,1,AMI
1,0,0,3.0,0,0,AMI
1,1,93,93.0,0,0,AMI
